name,host_star_name,url,planet_type,mass,planet_radius,orbital_period,orbit_distance,eccentricity,discovery_method,host_star_type
HD 7449 b,HD 7449,https://science.nasa.gov/exoplanet-catalog/hd-7449-b/,Gas Giant,2597.94242,1.12,3.5,2.438,0.75,Radial Velocity,F
HD 74698 b,HD 74698,https://science.nasa.gov/exoplanet-catalog/hd-74698-b/,Neptune-like,23.0,0.457,15,0.121,0.1,Radial Velocity,G
HD 74698 c,HD 74698,https://science.nasa.gov/exoplanet-catalog/hd-74698-c/,Gas Giant,127.132,1.24,9.4,4.5,0.2,Radial Velocity,G
HD 75289 b,HD 75289,https://science.nasa.gov/exoplanet-catalog/hd-75289-b/,Gas Giant,155.73669999999998,1.27,3.5,0.05,0.03,Radial Velocity,F
HD 75302 b,HD 75302,https://science.nasa.gov/exoplanet-catalog/hd-75302-b/,Gas Giant,1716.282,1.14,11.9,5.3,0.39,Radial Velocity,G
HD 75784 b,HD 75784,https://science.nasa.gov/exoplanet-catalog/hd-75784-b/,Gas Giant,317.83,1.23,341.2,1.032,0.1,Radial Velocity,K
HD 75784 c,HD 75784,https://science.nasa.gov/exoplanet-catalog/hd-75784-c/,Gas Giant,1792.5611999999999,1.14,21.6,8.4,0.49,Radial Velocity,K
HD 75898 b,HD 75898,https://science.nasa.gov/exoplanet-catalog/hd-75898-b/,Gas Giant,810.4664999999999,1.18,422.8,1.2025,0.1,Radial Velocity,F
HD 75898 c,HD 75898,https://science.nasa.gov/exoplanet-catalog/hd-75898-c/,Gas Giant,2698.3767,1.12,18.4,7.39,0.08,Radial Velocity,F
HD 76700 b,HD 76700,https://science.nasa.gov/exoplanet-catalog/hd-76700-b/,Gas Giant,66.7443,0.856,4,0.05,0.09,Radial Velocity,G
HD 76920 b,HD 76920,https://science.nasa.gov/exoplanet-catalog/hd-76920-b/,Gas Giant,994.8078999999999,1.17,415.9,1.091,0.88,Radial Velocity,K
HD 77338 b,HD 77338,https://science.nasa.gov/exoplanet-catalog/hd-77338-b/,Neptune-like,15.9,0.368,5.7,0.06,0.09,Radial Velocity,G
HD 77946 b,HD 77946,https://science.nasa.gov/exoplanet-catalog/hd-77946-b/,Neptune-like,10.9,0.258,6.5,0.073,0.21,Transit,F
HD 79181 b,HD 79181,https://science.nasa.gov/exoplanet-catalog/hd-79181-b/,Gas Giant,203.4112,1.26,273.1,0.9,0.26,Radial Velocity,K
HD 7924 b,HD 7924,https://science.nasa.gov/exoplanet-catalog/hd-7924-b/,Neptune-like,6.3566,0.214,5.4,0.06,0.06,Radial Velocity,K
HD 7924 c,HD 7924,https://science.nasa.gov/exoplanet-catalog/hd-7924-c/,Neptune-like,7.86,0.243,15.3,0.1134,0.1,Radial Velocity,K
HD 7924 d,HD 7924,https://science.nasa.gov/exoplanet-catalog/hd-7924-d/,Neptune-like,6.44,0.216,24.5,0.1551,0.21,Radial Velocity,K
